date,rain_sum,temperature_2m_mean,pressure_msl_mean,relative_humidity_2m_mean,wind_speed_10m_mean,soil_moisture_0_to_100cm_mean,surface_pressure_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max
1999-12-31 17:00:00+00:00,0.0,17.354584,1015.5334,67.628914,4.323564,0.2556933,946.66425,24.89,11.190001,9.983106
2000-01-01 17:00:00+00:00,0.0,16.073332,1017.2458,80.11756,6.1768336,0.25411743,947.97516,21.689999,11.39,8.534353
2000-01-02 17:00:00+00:00,0.0,17.208748,1014.31256,78.10204,4.210426,0.25284165,945.4951,23.789999,11.04,8.311245
2000-01-03 17:00:00+00:00,0.0,19.175417,1012.0417,73.18656,4.665228,0.25149962,943.8266,24.689999,14.04,9.107359
2000-01-04 17:00:00+00:00,0.0,19.90875,1011.2583,66.67869,5.1892076,0.2503346,943.25757,26.039999,14.440001,12.10157
2000-01-05 17:00:00+00:00,0.0,20.119165,1011.1333,60.31749,6.63454,0.24858205,943.1892,26.189999,15.04,12.55879
2000-01-06 17:00:00+00:00,2.2,18.70875,1013.2083,77.051674,5.1162815,0.24719208,944.8101,24.439999,13.990001,7.5685663
2000-01-07 17:00:00+00:00,1.2,19.346249,1012.12506,77.33684,5.4126053,0.24926668,943.9472,24.24,15.240001,10.365251
2000-01-08 17:00:00+00:00,0.0,20.204584,1011.7041,64.46391,4.176531,0.24817961,943.7422,25.99,15.14,8.049845
2000-01-09 17:00:00+00:00,0.0,21.062918,1011.1584,62.545147,4.168492,0.2464367,943.4218,26.89,15.29,7.9526596
2000-01-10 17:00:00+00:00,0.0,21.50875,1011.1917,59.572754,4.9030776,0.24470837,943.5511,27.539999,15.79,11.043261
2000-01-11 17:00:00+00:00,0.0,21.496248,1010.4541,53.10858,4.1471725,0.24298507,942.8599,27.49,15.740001,7.771331
2000-01-12 17:00:00+00:00,0.0,21.194166,1009.25415,44.097782,4.3830886,0.24123544,941.67334,27.039999,15.14,10.483357
2000-01-13 17:00:00+00:00,0.0,20.654585,1009.1291,42.40964,4.6616197,0.23952372,941.43585,26.939999,14.240001,8.311245
2000-01-14 17:00:00+00:00,0.0,20.689999,1010.06244,42.447502,4.765316,0.2379025,942.3156,26.84,14.59,10.483357
2000-01-15 17:00:00+00:00,0.0,20.525415,1011.9458,45.488773,4.577909,0.23635495,944.0363,26.74,14.54,9.227524
2000-01-16 17:00:00+00:00,0.0,18.275415,1014.3,70.95423,8.986341,0.23509328,945.7298,25.289999,13.990001,13.896187
2000-01-17 17:00:00+00:00,0.0,14.067084,1019.3333,73.51712,10.228279,0.23466955,949.4656,16.24,11.39,12.245293
2000-01-18 17:00:00+00:00,1.0,10.84625,1022.40826,71.37877,8.023595,0.23530246,951.56903,12.39,9.54,8.78872
2000-01-19 17:00:00+00:00,0.70000005,10.231667,1021.49164,73.79729,8.744844,0.23583336,950.5693,11.690001,9.09,11.183201
2000-01-20 17:00:00+00:00,0.0,12.760834,1021.3,80.34489,6.219208,0.23630881,950.98004,18.74,8.09,8.714677
2000-01-21 17:00:00+00:00,0.0,15.34,1018.6543,76.430786,6.448616,0.235635,949.1203,20.14,11.09,10.086427
2000-01-22 17:00:00+00:00,0.0,17.1775,1016.1792,75.7464,4.814847,0.23502873,947.233,22.74,12.490001,6.638072
2000-01-23 17:00:00+00:00,0.1,17.960835,1016.7417,75.60092,4.601353,0.23414588,947.9346,24.09,12.14,9.028754
2000-01-24 17:00:00+00:00,0.0,16.198336,1021.2041,76.78585,9.2978735,0.23346008,951.70245,18.439999,13.54,11.923557
2000-01-25 17:00:00+00:00,0.0,12.925416,1024.9542,70.880035,10.082116,0.23321755,954.4322,15.64,10.34,12.594856
2000-01-26 17:00:00+00:00,0.0,10.867084,1025.7291,63.268444,9.616903,0.23266123,954.6623,14.29,8.59,10.990322
2000-01-27 17:00:00+00:00,0.0,10.881665,1023.6584,63.982803,8.016826,0.23210585,952.7332,15.79,7.24,10.24578
2000-01-28 17:00:00+00:00,0.0,10.329583,1025.2792,73.80496,8.5383415,0.23152667,954.1113,14.84,6.44,11.090103
2000-01-29 17:00:00+00:00,0.0,9.4712515,1027.3124,72.49829,9.5975275,0.23139586,955.80194,11.39,8.24,12.096214
2000-01-30 17:00:00+00:00,4.8999996,7.914999,1028.7999,85.32683,6.57094,0.23412286,956.80585,9.59,6.44,8.39657
2000-01-31 17:00:00+00:00,0.0,10.319166,1025.3916,70.51754,6.4858494,0.2349629,954.207,16.64,6.14,8.587338
2000-02-01 17:00:00+00:00,0.0,11.89,1021.24994,72.060326,4.9093556,0.23392625,950.71063,20.14,4.39,9.290511
2000-02-02 17:00:00+00:00,0.0,13.671249,1018.5334,74.780525,5.5192356,0.23246883,948.60236,21.99,6.24,10.365251
2000-02-03 17:00:00+00:00,0.0,16.262915,1015.375,71.289696,6.1404896,0.23114292,946.25836,24.64,8.490001,11.4862
