date,rain_sum,temperature_2m_mean,pressure_msl_mean,relative_humidity_2m_mean,wind_speed_10m_mean,soil_moisture_0_to_100cm_mean,surface_pressure_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max
2009-12-31 17:00:00+00:00,0.0,25.810417,1009.675,75.59461,12.71507,0.27846915,1009.21344,29.95,23.05,15.2947035
2010-01-01 17:00:00+00:00,0.0,26.520834,1010.05414,69.92261,13.480634,0.27639288,1009.59375,30.0,24.35,15.815435
2010-01-02 17:00:00+00:00,0.0,26.543747,1010.44586,74.76227,13.269288,0.27482256,1009.98517,29.5,24.9,14.917212
2010-01-03 17:00:00+00:00,0.0,26.227083,1009.6418,75.71204,14.075898,0.27281418,1009.1811,29.85,24.1,17.026896
2010-01-04 17:00:00+00:00,0.0,26.083336,1009.65826,80.43188,13.754147,0.27095625,1009.19745,29.75,23.8,16.746773
2010-01-05 17:00:00+00:00,0.0,26.106249,1010.4834,79.05047,14.865384,0.2690988,1010.02203,29.75,24.15,18.228943
2010-01-06 17:00:00+00:00,0.0,26.154167,1011.93335,74.281746,15.257427,0.2669783,1011.4714,29.95,23.8,20.211363
2010-01-07 17:00:00+00:00,0.0,26.347918,1011.83746,75.15479,11.713889,0.26498297,1011.376,30.35,23.6,14.145756
2010-01-08 17:00:00+00:00,0.0,26.581251,1011.39154,75.705605,11.1294985,0.2632892,1010.9306,30.3,24.4,14.145756
2010-01-09 17:00:00+00:00,0.2,26.102087,1011.40424,76.68683,11.595916,0.26174748,1010.94244,28.95,24.1,15.137133
2010-01-10 17:00:00+00:00,0.0,26.341667,1012.04584,76.422554,9.475902,0.2605942,1011.58417,30.15,23.85,12.074766
2010-01-11 17:00:00+00:00,0.0,26.227083,1012.66675,74.10259,12.86136,0.25891718,1012.2045,30.25,24.1,16.87398
2010-01-12 17:00:00+00:00,0.0,25.781244,1014.07904,72.33924,13.775986,0.25728288,1013.6157,30.0,23.75,16.563911
2010-01-13 17:00:00+00:00,0.0,25.612501,1015.6418,70.78552,10.698867,0.25568542,1015.17725,29.45,23.0,12.313893
2010-01-14 17:00:00+00:00,0.0,25.454168,1015.13336,72.302895,7.681372,0.25395128,1014.6689,29.75,22.0,14.186923
2010-01-15 17:00:00+00:00,0.0,25.545835,1014.96674,73.13129,6.0732684,0.25259677,1014.5025,29.75,22.7,11.592894
2010-01-16 17:00:00+00:00,0.0,25.72917,1014.3459,74.539314,4.500127,0.2510012,1013.88214,30.55,21.8,9.449572
2010-01-17 17:00:00+00:00,0.0,25.977081,1013.23755,75.285034,5.38829,0.24942254,1012.77466,30.5,22.75,8.942214
2010-01-18 17:00:00+00:00,76.4,22.88125,1011.0042,96.67535,11.110446,0.26729664,1010.5376,24.45,21.4,18.709612
