date,rain_sum,temperature_2m_mean,pressure_msl_mean,relative_humidity_2m_mean,wind_speed_10m_mean,soil_moisture_0_to_100cm_mean,surface_pressure_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max
2009-12-31 17:00:00+00:00,0.0,16.695831,1013.8625,76.046486,7.2607727,0.35143507,851.33746,22.9875,11.8875,11.770403
2010-01-01 17:00:00+00:00,0.1,17.397917,1014.22095,79.72333,6.0113697,0.34990838,851.9976,22.5375,13.1375,10.823973
2010-01-02 17:00:00+00:00,0.0,18.15,1014.38336,80.18486,5.538187,0.34829918,852.5125,23.2375,14.1875,10.028439
2010-01-03 17:00:00+00:00,0.3,18.018747,1013.09186,74.795006,3.36113,0.34651247,851.3569,23.9875,13.3875,5.6920996
2010-01-04 17:00:00+00:00,0.5,17.954166,1013.31244,81.067726,4.273455,0.34508124,851.5152,22.8375,13.987499,7.9932966
2010-01-05 17:00:00+00:00,0.0,17.725,1014.2124,64.27601,6.591133,0.34351632,852.1491,23.7375,13.487499,12.144331
2010-01-06 17:00:00+00:00,0.0,16.831251,1015.9917,75.83434,7.9006257,0.34181878,853.1972,22.1875,12.487499,12.4811535
2010-01-07 17:00:00+00:00,0.0,16.808332,1015.5708,77.25056,8.296843,0.3402867,852.8305,22.5375,11.8875,11.720751
2010-01-08 17:00:00+00:00,0.5,17.164583,1015.1501,85.326294,7.6459746,0.33937708,852.66693,21.2875,14.1375,11.525623
2010-01-09 17:00:00+00:00,0.0,17.416666,1014.7292,78.989746,6.081684,0.3386047,852.4351,22.9875,13.537499,9.659814
2010-01-10 17:00:00+00:00,0.0,17.329168,1015.2292,72.44123,5.2219234,0.33730248,852.8035,23.4875,12.5875,9.178235
2010-01-11 17:00:00+00:00,0.0,16.2875,1016.7124,80.24111,9.515031,0.33610842,853.5301,21.7875,12.0875,14.291592
2010-01-12 17:00:00+00:00,0.0,15.791667,1018.6917,83.64556,13.443695,0.33551955,854.9478,19.637499,13.3375,18.59845
2010-01-13 17:00:00+00:00,0.2,15.141666,1019.94165,84.03325,13.657691,0.3351258,855.6635,19.4375,12.787499,20.371038
2010-01-14 17:00:00+00:00,0.0,15.685416,1019.0334,81.910706,11.469996,0.3344241,855.1741,20.9375,12.537499,15.7908325
2010-01-15 17:00:00+00:00,0.3,15.466666,1019.2376,83.43145,13.171024,0.33395752,855.239,19.9375,13.0875,19.406637
2010-01-16 17:00:00+00:00,0.0,15.918751,1018.86664,85.1793,13.639289,0.3339146,855.1591,19.5375,13.487499,18.864824
2010-01-17 17:00:00+00:00,3.5,15.868752,1017.5542,87.142296,11.439481,0.3344334,854.0332,19.2875,13.0875,18.161278
2010-01-18 17:00:00+00:00,69.600006,15.974999,1014.6374,98.70959,9.120262,0.35860506,851.6462,16.887499,15.3375,11.440979
2010-01-19 17:00:00+00:00,22.499998,17.122917,1015.01263,97.015564,11.234059,0.41185042,852.54047,19.1875,15.8375,14.904173
2010-01-20 17:00:00+00:00,2.5,17.637499,1016.57074,91.54313,5.434894,0.4169513,854.10254,21.2375,14.787499,10.739832
2010-01-21 17:00:00+00:00,1.1,17.902084,1017.175,89.849174,5.961223,0.4159025,854.7439,21.4375,15.1375,11.165805
2010-01-22 17:00:00+00:00,0.6,16.83125,1017.17084,86.77895,6.9582024,0.4138434,854.1963,20.7875,13.537499,12.24
2010-01-23 17:00:00+00:00,0.0,16.56458,1017.12494,86.87025,7.685332,0.41084257,854.0191,21.137499,12.487499,11.966953
2010-01-24 17:00:00+00:00,1.1,16.891668,1016.94183,89.52575,8.216945,0.40827385,854.0359,21.0375,14.0875,12.7279215
