date,rain_sum,temperature_2m_mean,pressure_msl_mean,relative_humidity_2m_mean,wind_speed_10m_mean,soil_moisture_0_to_100cm_mean,surface_pressure_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max
2020-12-31 17:00:00+00:00,0.0,11.895084,1025.721,46.317135,8.139194,0.22627206,1024.3695,17.8305,7.5305004,13.1041975
2021-01-01 17:00:00+00:00,0.0,12.292998,1022.0999,62.065826,6.291573,0.22442959,1020.75507,18.9805,6.1805,11.709688
2021-01-02 17:00:00+00:00,0.0,13.5513315,1022.0625,63.42416,6.768392,0.22314788,1020.7236,19.3305,8.0305,9.028754
2021-01-03 17:00:00+00:00,0.0,15.661748,1020.95,57.570316,7.340776,0.22149466,1019.6224,21.6805,10.5305,10.514218
2021-01-04 17:00:00+00:00,0.0,16.057583,1020.50415,67.34467,5.6987863,0.21933289,1019.1789,21.0805,10.5305,9.3669195
2021-01-05 17:00:00+00:00,0.0,17.228416,1019.3625,55.33864,8.425784,0.21574919,1018.0442,19.8305,15.4805,13.324863
2021-01-06 17:00:00+00:00,0.2,13.601333,1020.8626,61.444675,16.406267,0.21557379,1019.52563,16.0805,10.4805,18.218275
2021-01-07 17:00:00+00:00,0.3,9.1867485,1026.45,54.158176,17.491364,0.22013171,1025.0848,11.1805,7.3305,22.057161
2021-01-08 17:00:00+00:00,0.0,9.901334,1025.4166,39.54063,11.694865,0.21911043,1024.0563,12.6805,7.5805,14.658676
2021-01-09 17:00:00+00:00,0.0,11.093001,1024.4125,37.087246,9.801068,0.21648417,1023.059,13.7805,8.4305,13.905509
2021-01-10 17:00:00+00:00,0.0,11.532582,1029.2084,30.217522,16.947578,0.21855585,1027.851,14.7805,9.1305,23.313995
2021-01-11 17:00:00+00:00,0.0,12.553416,1026.2792,37.99296,9.1949625,0.21744627,1024.93,17.880499,7.5805,17.227419
2021-01-12 17:00:00+00:00,0.0,14.449249,1018.9375,51.27011,6.710734,0.21531956,1017.6069,20.4805,8.7305,15.782622
2021-01-13 17:00:00+00:00,0.0,15.803413,1017.20416,67.08871,5.4193325,0.21265084,1015.8821,22.0805,9.9305,13.104198
2021-01-14 17:00:00+00:00,0.0,16.126333,1015.396,80.23967,6.7272353,0.21248291,1014.0776,20.7305,10.4305,11.440978
2021-01-15 17:00:00+00:00,0.1,18.120083,1016.0876,78.4484,5.336439,0.21336748,1014.7776,21.380499,15.7805,8.373386
2021-01-16 17:00:00+00:00,4.6,14.868,1025.221,62.823288,17.9112,0.21616794,1023.8842,17.0805,12.580501,26.785547
2021-01-17 17:00:00+00:00,0.0,14.043,1024.4875,45.457783,9.638244,0.2163321,1023.14777,19.7305,9.080501,13.627795
2021-01-18 17:00:00+00:00,0.0,14.136749,1018.78326,71.2404,7.7250557,0.21430586,1017.45123,21.380499,7.4305,15.9134655
2021-01-19 17:00:00+00:00,0.0,15.986749,1016.73334,79.84426,7.9553533,0.21220547,1015.4126,21.4805,10.1305,12.768586
2021-01-20 17:00:00+00:00,0.1,18.055498,1015.8042,78.084015,4.2693944,0.2116204,1014.4943,21.780499,15.0305,10.587918
2021-01-21 17:00:00+00:00,0.0,18.634665,1015.45,76.82477,4.1924715,0.21161878,1014.143,23.2305,13.6305,6.489992
2021-01-22 17:00:00+00:00,0.0,18.94925,1014.575,76.30805,7.071654,0.20968373,1013.2705,24.780499,13.9805,11.988594
2021-01-23 17:00:00+00:00,0.0,19.007582,1013.43744,80.623505,11.435678,0.2069133,1012.1347,25.530499,14.2305,17.148247
2021-01-24 17:00:00+00:00,1.8000002,20.465914,1014.77094,85.19633,12.799446,0.20506042,1013.47314,23.880499,18.530499,16.489416
2021-01-25 17:00:00+00:00,1.2,19.899248,1016.19165,83.46545,9.525309,0.20387752,1014.88947,24.3305,16.530499,15.807239
2021-01-26 17:00:00+00:00,0.0,18.840918,1016.06256,82.107994,8.961118,0.20446044,1014.7556,23.4305,14.6305,14.88242
