date,rain_sum,temperature_2m_mean,pressure_msl_mean,relative_humidity_2m_mean,wind_speed_10m_mean,soil_moisture_0_to_100cm_mean,surface_pressure_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max
2020-12-31 17:00:00+00:00,0.4,17.744081,1016.41675,79.10192,13.64639,0.4016321,963.45306,19.692,16.392,18.692286
2021-01-01 17:00:00+00:00,0.1,18.602415,1015.39575,81.532616,14.346496,0.40110552,962.6346,22.092,16.642,20.724247
2021-01-02 17:00:00+00:00,0.0,19.7795,1014.44995,81.26812,18.293478,0.40040135,961.94183,23.792,16.842,30.302078
2021-01-03 17:00:00+00:00,1.6,21.325335,1013.8625,83.66957,16.820047,0.3979725,961.6534,24.692,18.992,28.277763
2021-01-04 17:00:00+00:00,0.0,21.84408,1014.03345,81.20542,16.831083,0.39705503,961.90375,25.342,19.342,23.219301
2021-01-05 17:00:00+00:00,0.0,21.417,1013.32495,80.9515,18.849478,0.396338,961.1582,25.242,19.192,26.758923
2021-01-06 17:00:00+00:00,0.2,21.223248,1012.71655,79.13386,18.57489,0.39535007,960.54755,25.042,18.392,23.491207
2021-01-07 17:00:00+00:00,0.0,20.931583,1013.56665,77.71248,20.314043,0.39323008,961.30347,24.892,18.242,31.085323
2021-01-08 17:00:00+00:00,0.2,19.592,1014.6751,78.770195,19.349833,0.38949835,962.1241,22.842,17.792,27.859905
2021-01-09 17:00:00+00:00,0.0,19.623251,1014.3625,78.26775,20.980331,0.38720453,961.8317,23.592,16.892,31.353085
2021-01-10 17:00:00+00:00,0.0,19.181583,1015.88324,76.7081,19.501053,0.38400134,963.1958,23.442,15.892,29.714724
2021-01-11 17:00:00+00:00,0.0,17.042002,1016.74994,71.26876,18.594477,0.3823754,963.6409,21.742,13.842,23.110205
2021-01-12 17:00:00+00:00,0.0,16.608667,1015.1208,74.15841,18.688524,0.38012755,962.0191,21.492,12.941999,22.19773
2021-01-13 17:00:00+00:00,0.0,18.1295,1014.0335,75.16288,19.834478,0.3779663,961.25543,23.592,14.142,23.828083
2021-01-14 17:00:00+00:00,0.0,19.464914,1012.28754,71.4443,20.512197,0.3743296,959.8327,24.992,15.092,25.562534
2021-01-15 17:00:00+00:00,0.0,20.206583,1012.4834,73.080956,19.091967,0.36978254,960.1473,25.742,15.691999,28.521906
2021-01-16 17:00:00+00:00,0.0,20.342001,1015.23737,72.88215,20.671835,0.3654422,962.7851,25.092,17.192,28.521906
2021-01-17 17:00:00+00:00,0.0,18.927418,1016.43335,69.543495,16.739008,0.36386332,963.6733,23.342,15.092,23.068108
2021-01-18 17:00:00+00:00,0.0,18.169083,1014.9334,77.01842,14.950831,0.36247376,962.1175,22.592,14.592,19.493261
2021-01-19 17:00:00+00:00,0.0,20.527414,1013.40826,76.23886,17.610723,0.36070374,961.07935,26.442,16.142,19.852295
2021-01-20 17:00:00+00:00,0.0,22.104498,1012.34576,75.99693,15.733693,0.35841823,960.34424,26.692,17.892,20.364674
2021-01-21 17:00:00+00:00,0.0,22.546165,1011.64575,72.860466,18.36458,0.35708332,959.7539,28.642,18.242,25.651104
2021-01-22 17:00:00+00:00,0.0,22.01075,1012.3291,74.0328,18.330647,0.3551217,960.31354,26.492,19.042,26.661882
2021-01-23 17:00:00+00:00,0.0,22.28575,1012.87915,72.40147,18.398764,0.3532696,960.87946,28.492,18.242,26.28986
2021-01-24 17:00:00+00:00,0.0,22.671165,1012.39575,64.42996,18.463285,0.3496388,960.4858,28.792,18.442,30.633865
2021-01-25 17:00:00+00:00,0.0,21.785751,1012.55835,70.54301,20.16017,0.34699836,960.4905,27.592,17.592,28.835976
2021-01-26 17:00:00+00:00,0.0,22.100332,1012.92084,76.89799,20.387054,0.34676215,960.8896,26.692,18.842,24.522316
2021-01-27 17:00:00+00:00,0.0,21.28783,1014.88336,71.86683,20.90477,0.3454704,962.6128,25.992,18.242,25.420181
2021-01-28 17:00:00+00:00,0.0,20.34825,1015.73346,70.5553,20.682222,0.34397912,963.25653,25.842,17.192,28.019936
2021-01-29 17:00:00+00:00,0.0,20.579496,1015.33325,72.236084,20.444357,0.3434333,962.91406,26.642,16.492,24.336637
2021-01-30 17:00:00+00:00,0.0,21.225332,1015.30835,74.891266,20.588697,0.34344247,963.0041,25.992,17.792,27.193705
2021-01-31 17:00:00+00:00,0.0,21.460749,1015.16254,69.576,21.407137,0.34228623,962.9041,27.242,17.442,25.683926
