date,rain_sum,temperature_2m_mean,pressure_msl_mean,relative_humidity_2m_mean,wind_speed_10m_mean,soil_moisture_0_to_100cm_mean,surface_pressure_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max
2023-12-31 17:00:00+00:00,0.5,21.523,1016.58325,80.465385,8.872899,0.21718837,1014.3466,26.848,17.248,17.208603
2024-01-01 17:00:00+00:00,1.1,22.635498,1015.74176,82.130875,10.805709,0.21401082,1013.51556,27.398,19.848,15.141414
2024-01-02 17:00:00+00:00,9.599999,17.764666,1020.0959,79.657455,12.852664,0.2270788,1017.8228,20.198,15.398,24.75638
2024-01-03 17:00:00+00:00,0.0,19.077166,1018.7959,64.93997,8.80461,0.22806709,1016.5357,23.298,16.548,16.870138
2024-01-04 17:00:00+00:00,0.2,20.064665,1017.5251,82.01057,8.07581,0.22757627,1015.2753,24.448,17.048,14.372974
2024-01-05 17:00:00+00:00,2.1000001,21.310497,1018.4292,83.64226,8.043435,0.22804709,1016.1871,25.098,18.898,13.979872
2024-01-06 17:00:00+00:00,0.1,20.816748,1017.96246,84.29466,10.44205,0.22950584,1015.71747,24.948,17.448,16.563911
2024-01-07 17:00:00+00:00,1.1,21.979248,1016.0251,82.33824,12.280582,0.22968751,1013.7932,26.598,18.998,17.551615
2024-01-08 17:00:00+00:00,2.3,22.273,1015.0291,85.652794,10.70551,0.22978081,1012.8018,26.598,19.498,13.5515
2024-01-09 17:00:00+00:00,16.4,19.877167,1016.49994,91.32038,12.134887,0.2353621,1014.25104,22.298,17.898,15.119999
2024-01-10 17:00:00+00:00,8.5,18.35425,1017.21246,92.001884,8.001116,0.24574126,1014.95044,20.048,17.098,11.27553
2024-01-11 17:00:00+00:00,11.7,18.300081,1016.69586,92.672485,7.89455,0.25809294,1014.43463,19.448,17.598,12.287555
2024-01-12 17:00:00+00:00,11.3,18.887583,1017.71674,93.99073,6.5797253,0.2717063,1015.4577,19.948,17.998,9.793058
